title_1,reference-count,subj,year,month,day,row_num
"Heilkräfte des Phosphors oder der Phosphor als Arzneimittel in einer ganz neuen Gestalt, nebst Erwähnung seiner frühern Anwendung gegen Krankheiten",29,"Drug Discovery, Pharmaceutical Science",1836,,,5
Ueber die Polarisation der Wärme,29,General Physics and Astronomy,1836,,,6
Chemische Analyse der Seide,25,General Physics and Astronomy,1836,,,7
"Ueber die giftigen Eigenschaften des Schierlings und seines Alkaloides, des Coniins",24,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1836,,,8
Zur Naturgeschichte des Kreuzsteins oder Harmotoms,18,General Physics and Astronomy,1836,,,9
Versuch einer Erklärung des Verhaltens der Salpetersäure zu den oxydirbaren Metallen,18,General Physics and Astronomy,1836,,,10
"Ueber die Volumveränderungen, welche durch die Krystallisation hervorgerufen werden",48,General Physics and Astronomy,1854,,,1
Ueber Icterus typhoïdes,45,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1854,9,,2
Beitrag zur Pathologie des Choleratyphoids,43,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1854,12,,3
Reviews and bibliographical notices,40,General Medicine,1854,11,,4
"Ueber die Leitungsfähigkeit für Elektricität, welche Isolatoren durch Temperaturerhöhung annehmen",39,General Physics and Astronomy,1854,,,5
Ueber Lupus,34,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1854,6,,6
XXVII. <i>On the power of conducting electricity assumed by insulators at high temperatures</i>,32,,1854,9,,7
Ein Fall vonDiabetes mellitus mit epikritischen Bemerkungen,31,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1854,9,,8
Beiträge zur Physiologie und Pathologie der schiefen Augenmuskeln,31,"Cellular and Molecular Neuroscience, Sensory Systems, Ophthalmology",1854,3,,9
XVIII.—<i>On the mechanism of aquatic respiration and on the structure of the organs of breathing in invertebrate animals</i>,28,General Medicine,1854,3,,10
XLII.—<i>On the history of</i> Echeneis,76,General Medicine,1860,5,,1
Die Contactwirkungen des Chlors auf die Gewebe,67,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1860,9,,2
Ueber die Bestimmung der Zähigkeit einer Flüssigkeit durch den Ausfluss aus Röhren,49,General Physics and Astronomy,1860,,,3
Ueber Wolfram und einige seiner Verbindungen,47,General Physics and Astronomy,1860,,,4
Reviews and bibliographical notices,42,General Medicine,1860,11,,5
Ueber die von verschiedenen Körpern reflectirten Wärmestrahlen,41,General Physics and Astronomy,1860,,,6
Zur Theorie und Anatomie der Bronchienerweiterung,31,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1860,1,,7
Ueber die Bedeutung der Pacchionischen Granulationen,29,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1860,5,,8
Geschichtliche Einleitung,29,,1860,,,9
Beobachtungen über die Selensäure und einige selensaure Salze,26,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1860,,,10
Gliederung und Charakteristik der cambrischen und untersilurischen Schichten in Schweden,263,,1883,,,1
Kritische und experimentelle Untersuchungen über die Nervennaht und Nervenregeneration,196,Surgery,1883,8,,2
Ueber den Einfluss fieberhafter Zustände und antipyretischer Behandlung auf den Umsatz der stickstoffhaltigen Substanzen und die Assimilation stickstoffhaltiger Bestandtheile der Milch,195,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1883,12,,3
Die venerischen Erkrankungen und deren Uebertragbarkeit bei einigen warmblütigen Thieren,164,"Dermatology, General Medicine",1883,12,,4
Ueber die Ostoklastentheorie,160,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1883,6,,5
Ueber die Ostoklastentheorie,158,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1883,5,,6
D. Die einzelnen romanischen Sprachen und Litteraturen.,130,"Literature and Literary Theory, Linguistics and Language, Language and Linguistics",1883,,,7
"Pathologisch-anatomische Untersuchungen über die folliculäre Entzündung der Bindehaut des Auges, oder das Trachom",127,"Cellular and Molecular Neuroscience, Sensory Systems, Ophthalmology",1883,6,,8
Substitutionsproducte der Phenoläther,111,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1883,,,9
Die Franzosen und die Entdeckung des Blutkreislaufs,103,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1883,10,,10
Abstracts of Documents in this Supplement,10124,,1985,,,1
"Silicon Carbide, SiC",6521,,1985,,,2
Fe Iron,4836,,1985,,,3
Rare Earth Elements and Selenium,2802,,1985,,,4
Chapter 1 Antitumor Alkaloids,2771,,1985,,,5
Introduction,2604,,1985,,,6
Hg Mercury,2336,,1985,,,7
Structure–Activity Relationships,2275,,1985,,,8
References,2141,,1985,,,9
References,2139,,1985,,,10
References,6145,,2015,,,1
Drug-induced ocular side effects,4027,,2015,,,2
Retinal Glia,3157,Applied Mathematics,2015,3,12,3
"Literaturverzeichnis zu Voderholzer, Hohagen (Hrsg.): Therapie psychischer Erkrankungen, 10. Auflage",2972,,2015,,,4
Reference list and index of citations,2869,,2015,10,3,5
Human Cytochrome P450 Enzymes,2769,,2015,,,6
Bibliography,2655,,2015,10,10,7
References,2635,,2015,,,8
Atlas of Nuclear Isomers,2539,Nuclear and High Energy Physics,2015,9,,9
References,2440,,2015,,,10
De opiumpacht,120,Economics and Econometrics,1873,9,,1
"V. On the Anatomy of the American King-crab (Limulus polyphemus, Latr.).",100,,1873,5,,2
Die höheren Grade der weiblichen Osteomalacie,91,"Obstetrics and Gynecology, General Medicine, Obstetrics and Gynecology, Obstetrics and Gynecology, Obstetrics and Gynecology",1873,10,,3
Ueber die Kopfdrüsen einheimischer Ophidier,85,General Medicine,1873,12,,4
Untersuchungen über die Endigung der Nerven in den quergestreiften Muskelfasern,82,General Medicine,1873,12,,5
Studien über die Alkaloïde der Chinarinden,69,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1873,,,6
Ueber Placentarsyphilis,69,"Obstetrics and Gynecology, General Medicine, Obstetrics and Gynecology, Obstetrics and Gynecology, Obstetrics and Gynecology",1873,2,,7
Ueber einige Haloïdderivate des Toluols,69,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1873,,,8
De opiumpacht,61,Economics and Econometrics,1873,9,,9
Beitrag zur Frage über die Entstehung der physiologischen Krümmung der Wirbelsäule beim Menschen,59,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1873,6,,10
"Ueber die Natur der Glasbasis, sowie der Krystallisationsvorgänge im eruptiven Magma",218,,1887,11,,1
Hautkrankheiten,139,"Dermatology, General Medicine",1887,12,,2
On Extirpation of the Larynx,116,,1887,12,,3
Beiträge zur Castrationsfrage,116,"Obstetrics and Gynecology, General Medicine, Obstetrics and Gynecology, Obstetrics and Gynecology, Obstetrics and Gynecology",1887,6,,4
Hautkrankheiten,113,"Dermatology, General Medicine",1887,12,,5
Literatur,110,,1887,9,,6
Das menschliche Ei,103,General Medicine,1887,12,,7
John Hunter als Syphilograph,101,"Dermatology, General Medicine",1887,12,,8
Einleitung,96,,1887,,,9
Die Entstehung der Lederhautberstungen und Aderhautrisse,92,"Cellular and Molecular Neuroscience, Sensory Systems, Ophthalmology",1887,10,,10
BIBLIOGRAPHY,7385,,1969,,,1
REFERENCES,4418,,1969,,,2
Besonderheiten der Wirkungen der einzelnen Gestagene auf Morphologie und Funktion des Genitaltraktes,3444,,1969,,,3
REFERENCES,2660,,1969,,,4
REFERENCES,2660,,1969,,,5
Pharmaceutical Sciences—1968. A Literature Review of Pharmaceutics,2272,Pharmaceutical Science,1969,7,,6
6 The Literature of Medicinal Chemistry,2197,,1969,,,7
Bösartige und überwiegend bösartige Lungengeschwülste,2038,,1969,,,8
Die physiologische Rolle des Progesterons,2033,,1969,,,9
Röntgendiagnostik der Atemorgane,1970,,1969,,,10
Questionnaire MiFID et participation sur les marchés actions,77,"General Economics, Econometrics and Finance",2030,1,31,1
Le rôle des effets de réseau locaux et des effets spatiaux dans le développement des plateformes numériques : le cas du site de covoiturage iDVROOM,27,"General Economics, Econometrics and Finance",2030,1,31,2
Impact du changement climatique sur l’agriculture : une quantification du biais de prix dans les approches économétriques,25,"General Economics, Econometrics and Finance",2030,1,31,3
Assouplissement de la législation de protection de l’emploi : plus d’attractivité ? plus de bien-être ?,14,"General Economics, Econometrics and Finance",2030,1,31,4
Isis Current Bibliography of the History of Science and Its Cultural Influences 2021,5873,"History and Philosophy of Science, Earth and Planetary Sciences (miscellaneous), History",2021,12,1,1
References,4737,,2021,4,6,2
Hyperborea between Cult and Song,4404,,2021,4,22,3
The Wondrous Road: Archaic Travel Narrative,4404,,2021,4,22,4
Cosmography,4404,,2021,4,22,5
General index,4404,,2021,4,22,6
Impossible Worlds? Hellenistic Reconfigurations,4404,,2021,4,22,7
Hyperborea and the Classical Economies of Knowledge,4404,,2021,4,22,8
Further Trajectories,4404,,2021,4,22,9
Index locorum,4404,,2021,4,22,10
References,25814,,2012,,,1
Phylum XXVI. Actinobacteria phyl. nov.,8755,,2012,,,2
References,6486,,2012,4,26,3
References,6065,,2012,,,4
Enzymatic conversions of starch,3615,,2012,,,5
"Kapitel E1 Literaturverzeichnis zu Peter, Pichler, Müller-Ladner (Hrsg.): Klinische Immunologie",3522,,2012,,,6
"Island writing, Creole cultures",3249,,2012,1,12,7
Religion and postcolonial writing,3241,,2012,1,12,8
The narrative forms of postcolonial fiction,3223,,2012,1,12,9
Postcolonial responses to the Western canon,3208,,2012,1,12,10
A catalogue of multiple congenital anomaly syndromes,10962,,1991,,,1
Sesquiterpenoids,6618,,1991,,,2
Diterpenoids,4637,,1991,,,3
Triterpenoids,3352,,1991,,,4
Bibliography,3190,,1991,,,5
Enzyme Handbook,2828,,1991,,,6
"Christian obedience and authority, 1520–1550",2389,,1991,7,26,7
"Calvinism and resistance theory, 1550–1580",2389,,1991,7,26,8
Sovereignty and the mixed constitution: Bodin and his critics,2388,,1991,7,26,9
Constitutionalism,2388,,1991,7,26,10
"XIX. <i>Of the Wisdom of the Antient</i> Egyptians; <i>a Discourse concerning their Arts, their Sciences, and their Learning: their Laws, their Government, and their Religion. With occasional Reflections upon the State of Learning among the</i> Jews; <i>and some other Nations</i>",11,General Medicine,1777,,,1
"XXII. <i>Observations on the</i> Apamean <i>Medal. By the Rev. Dr.</i> Milles, <i>Dean of</i> Exeter, <i>and P.A.S.</i>",6,General Medicine,1777,,,2
"III. <i>An Enquiry into the Nature and Cause of King</i> John's <i>Death</i>; <i>wherein is shewn that it was not effected by Poison. In a Letter to the Rev. Dr.</i> Milles, <i>President of the Society of Antiquaries</i>, London, <i>from the Rev. Mr.</i> Pegge",6,General Medicine,1777,,,3
"VIII. <i>Observations on</i> Kit's Cotty House, <i>in</i> Kent. <i>In a Letter to the Honourable</i> Daines Barrington, <i>from the Reverend Mr.</i> Pegge",6,General Medicine,1777,,,4
"IV. <i>Illustration of a gold enamelled Ring, supposed to have been the Property of</i> Alhstan, <i>bishop of</i> Sherburne; <i>with some Account of the State and Condition of the</i> Saxon <i>Jewelry in the more early Ages. By the Rev. Mr.</i> Pegge",5,General Medicine,1777,,,5
"XVIII. <i>An Account of the Events produced in</i> England <i>by the Grant of the Kingdom of</i> Sicily <i>to Prince</i> Edmund, <i>Second Son of King</i> Henry <i>the Third. With some Remarks upon the Seal of that Prince</i>",4,General Medicine,1777,,,6
"I. <i>A further Account of some Remains of</i> Roman <i>and other Antiquities in or near the County of</i> Brecknock <i>in</i> South Wales. <i>By</i> John Strange, <i>Esq.</i>",4,General Medicine,1777,,,7
"XXVI. <i>Mr.</i> Pegge's <i>Remarks on the Bones of Fowls found in</i> Christchurch-Twynham, Hampshire. <i>In a Letter to the Secretary</i>",4,General Medicine,1777,,,8
XXI. <i>Observations on the</i> Apamean <i>Medal. By the Hon</i>. Danies Barrington,3,General Medicine,1777,,,9
"X. <i>An Account of the Great Seal of</i> Ranulph <i>Earl of</i> Chester; <i>and of two ancient Inscriptions found in the Ruins of</i> St. Edmund Bury Abbey. <i>By</i> Edward King, <i>Esq; In a Letter to the Rev. Mr.</i> Norris, <i>Sec. A. S.</i>",2,General Medicine,1777,,,10
Nachträge zu den Aufsätzen in den annalen über die aus der Luft gefallenen Steine,33,General Physics and Astronomy,1804,,,1
Prüfung der Hypothese des Grafen von Rumford über die Fortpflanzung der Wärme in den Flüssigkeiten,15,General Physics and Astronomy,1804,,,2
Ueber die Luftfahrten der Bürger Garnerin und Robertson,14,General Physics and Astronomy,1804,,,3
NotizenAlex. vonHumboldt's von seinen Reisen in der Kordillere der Anden und von seinen physikalischen Beobachtungen in Quito und Mexiko,13,General Physics and Astronomy,1804,,,4
"Auf der Reise. Bemerkungen über Dalton's Versuche über die Expansivkräfte luft - und dampfförmiger Flüssigkeiten, und über die für die Hygrometrie und Eudiometrie daraus gezogenen Folgerungen",12,General Physics and Astronomy,1804,,,5
Fortgesetzte electrische Versuche; und Bemerkungen über die leuchtende Erscheinung bei den Windbüchsen,9,General Physics and Astronomy,1804,,,6
Untersuchungen über die Fortpflanzung des Schalles in der Luft,9,General Physics and Astronomy,1804,,,7
Ueber die Luftfahrten der BürgerGarnerin undRobertson,9,General Physics and Astronomy,1804,,,8
"Ideen über Feuerkugeln und Meteorsteine, die Perioden ihrer Erscheinung, und die Uebereinstimmung mit denen der Nordlichter und Gewitter, und über den daraus hervor gehenden tellurischen Ursprung der gefallnen Stein- und Eisenmassen",9,General Physics and Astronomy,1804,,,9
Von dem Electricitätsverdoppler,8,General Physics and Astronomy,1804,,,10
"Vergleichung. der Bätylien der Alten mit den Steinen, welche in neuern Zeiten vom Himmel gefallen sind",72,General Physics and Astronomy,1805,,,1
"Bemerkungen für und wider Dalton's neue Theorie über die Beschaffenheit gemischter Gasarten, über seine Vorstellung, wie Gas im Wasser vorhanden ist, und über die Frage: ob Gasarten unter einander und zum Wasser chemisch verwandt sind, oder nicht",19,General Physics and Astronomy,1805,,,2
"Versuche über die eudiometrischen Mittel, und über das Verhältniss der Bestandtheile der Atmosphäre",17,General Physics and Astronomy,1805,,,3
"Versuche über die eudiometrischen Mittel, und über das Verhältniss der Bestandtheile der Atmosphäre",17,General Physics and Astronomy,1805,,,4
"XXVII. W<scp>right</scp> <i>on measuring the meridian</i>—W<scp>right</scp>, W<scp>ren</scp> and W<scp>ilkins</scp> <i>on an universal measure</i>—J. B<scp>aptista</scp> P<scp>orta</scp> <i>on the reflection of heat, cold sound from concave mirrors</i>",14,,1805,3,,5
LXI. <i>Analytical experiments and observations on lac</i>,11,,1805,1,,6
BEOBACHTUNGEN über die tägliche Veränderung in der Abweichung der Magnetnadel und Untersuchungen über deren Ursache,11,General Physics and Astronomy,1805,,,7
XXXVI. <i>On an artificial substance which possesses the principal characteristic properties of tannin</i>,9,,1805,11,,8
XXIII. <i>An analysis of the magnetical pyrites; with remarks on some of the other sulphurets of iron</i>,9,,1805,3,,9
Neue Versuche und Bemerkungen über den Galvanismus,8,General Physics and Astronomy,1805,,,10
"XXIV. <i>Essay upon the art of the Foundry among the antients: with some remarks upon the celebrated horses of Chio, now brought from Venice to Paris</i>",16,,1807,11,,1
"LVI. <i>Essay upon the art of the foundry among the antients: with some remarks upon the celebrated horses of chio, now brought from venice to paris</i>",15,,1807,9,,2
XLVII. <i>Memoir upon living and fossil elephants</i>,13,,1807,1,,3
Galvanisch - electrische Untersuchungen,13,General Physics and Astronomy,1807,,,4
"XXVIII. <i>Essay upon the art of the foundry among the antients: with some remarks upon the celebrated horses of Chio, now brought from venice to paris</i>",12,,1807,8,,5
"V. <i>Essay upon the art of the foundry among the antients: with some remarks upon the celebrated horses of Chio, now brought from Venise to Paris</i>",12,,1807,10,,6
"Untersuchungen über das Verhältniss, wonach die elastischen Flüssigkeiten, welche die Atmosphäre bilden, in ihr vorhanden sind; (und Vertheidigung des Salpetergas - Eudiometers,)",11,General Physics and Astronomy,1807,,,7
XVIII. <i>A third series of experiments on an artificial substance which possesses the principal characteristic properties of tannin; with some remarks on coal</i>,11,,1807,3,,8
XXXVII. <i>Additional memoir upon living and fossil elephants</i>,10,,1807,12,,9
"Beschreibung eines Manometers, das zugleich die Veränderungen in der Elasticität und in der Zusammensetzung einer gegebenen Luftmenge zeigt",10,General Physics and Astronomy,1807,,,10
Contributions to the pathology of the uterus,38,"General Chemistry, Catalysis",1838,1,,1
Geognostische und physikalische Beobachtungen über die Vulkane des Hochlandes von Quito,25,General Physics and Astronomy,1838,,,2
VIII.—<i>On the fructification of the pileate and clavate tribes of hymenomycetous fungi</i>,25,General Medicine,1838,4,,3
"Untersuchungen über Elektricität, mit besonderer Rücksicht auf die Theorie der galvanischen Kette",20,General Physics and Astronomy,1838,,,4
Der Dattelbaum (Phoenix dactylifera) nach seiner Einführung und der Limitation seines Vorkommens in Indien,19,"Drug Discovery, Pharmaceutical Science",1838,,,5
"XIV. <i>Observations on three Roman Sepulchral Inscriptions found at Watermore, near Cirencester, in Gloucestershire, in</i> 1835 <i>and</i> 1836. <i>By Dr.</i> Conrad Leemans, <i>First Conservator of the Museum of Antiquities at Leyden</i>",17,General Medicine,1838,,,6
Versuch einer elektrochemischen Theorie,17,General Physics and Astronomy,1838,,,7
"Gesammelte Nachrichten über den Campherbaum aus Sumatra, so wie über den Campher und das natürliche Campheröl, welches er liefert",16,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1838,,,8
"XIII. <i>Documents relating to Perkin Warbeck, with Remarks on his history; communicated in a Letter to the Right Honorable the</i> Earl of Aberdeen, <i>Pres. S.A., from Sir</i> Frederic Madden, <i>K.H., F.R.S., F.S.A.</i>",15,General Medicine,1838,,,9
XV. <i>A report of the progress of vegetable physiology during the year</i> 1836,15,,1838,1,,10
Das Catalonische und sein Verhältniss zum Provençalischen,82,,1858,,,1
Ueber die Regeneration gebrochener und resecirter Knochen,77,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1858,10,,2
Untersuchungen über den Einfluss der Erstickung auf die Menge des Blutes im Gehirn und in den Lungen,63,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1858,12,,3
Raymund Lull’s Weltanschauung,60,,1858,,,4
"Ueber die Zusammensetzung des Titaneisens, sowie der rhomboëdrisch und oktaëdrisch krystallisirten Eisenoxyde überhaupt",57,General Physics and Astronomy,1858,,,5
I.—<i>On the propagation of the</i> Desmidieæ <i>and</i> Diatomeæ,49,General Medicine,1858,1,,6
Ueber die Capillaritätsconstanten des Quecksilbers,39,General Physics and Astronomy,1858,,,7
Ueber die Beziehungen des im Eisenkern der Elektromagnete erregten Magnetismus zu den Dimensionen des Magnetkernes,36,General Physics and Astronomy,1858,,,8
Reviews and bibliographical notices,32,General Medicine,1858,8,,9
Die Oeffnung und Schliessung der Augenlider und des Thränensackes,31,"Cellular and Molecular Neuroscience, Sensory Systems, Ophthalmology",1858,12,,10
Quarz,1109,,1891,,,1
Zusammenfassender Bericht über die Mittheilungen betreffend das Koch'sche Heilverfahren gegen Tuberculose mit besonderer Rücksicht auf die Tuberculose der Haut,558,"Dermatology, General Medicine",1891,12,,2
Ueber Terpene und Campher,234,Inorganic Chemistry,1891,1,,3
Chronische progressive Lähmung der Augenmuskeln,226,"Pharmacology (medical), Biological Psychiatry, Psychiatry and Mental health, Pharmacology (medical), Biological Psychiatry, Psychiatry and Mental health, General Medicine",1891,12,,4
De Opleiding tot den Dienst des Woords bij de Gereformeerden in Nederland,193,,1891,,,5
Zur Kenntniss des Acetessigäthers,172,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1891,,,6
"The Expulsion of the Jews by Edward I.:an Essay in Explanation of the Exodus, A.D. 1290",144,History,1891,12,,7
Zur Erinnerung an Peter Griess,111,Inorganic Chemistry,1891,1,,8
Beitrag zur Kenntniss der hereditären Ataxie und Kleinhirnatrophie,101,"Pharmacology (medical), Biological Psychiatry, Psychiatry and Mental health, Pharmacology (medical), Biological Psychiatry, Psychiatry and Mental health, General Medicine",1891,2,,9
On the modern diagnosis of diseases of the stomach,99,,1891,12,,10
Bibliography of Current Archaeological Literature 1897,1008,"Archeology, Archeology",1897,11,1,1
Bibliography,999,,1897,7,,2
Beschränkungen des Privatrechts durch die Polizei,569,,1897,,,3
Ueber das zweiwerthige Kohlenstoffatom. (Vierte Abhandlung.) Die Chemie des Methylens,350,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1897,,,4
Beiträge zur Lehre von den Eingeweiden der Hatteria punctata,321,General Medicine,1897,3,,5
Beiträge zur Anatomie der Hatteria punctata,294,General Medicine,1897,12,,6
Ueber den myogenen Ursprung der Herzthätigkeit und über automatische Erregbarkeit als normale Eigenschaft peripherischer Nervenfasern,247,"Physiology (medical), Clinical Biochemistry, Physiology",1897,1,,7
Ueber extragenitale Syphilisinfection,232,"Dermatology, General Medicine",1897,12,,8
Quantitative Bestimmung der Metalle,206,,1897,,,9
VIII. On the regeneration of nerves,176,,1897,12,31,10
Schilddrüse,3023,,1926,,,1
Die akuten und chronischen Entzündungen,2371,,1926,,,2
Geschwülste des Magens und Duodenums,2088,,1926,,,3
Geschwülste des Magens und Duodenums,2080,,1926,,,4
"Die peptischen Schädigungen des Magens, des Duodenums und der Speiseröhre und das peptische postoperative Jejunalgeschwür",1846,,1926,,,5
"Die peptischen Schädigungen des Magens, des Duodenums und der Speiseröhre und das peptische postoperative Jejunalgeschwür",1668,,1926,,,6
Geschichte der Physik,1650,,1926,,,7
Ätiologie. Erkrankungen des Gehörorgans in seinen Beziehungen zum Gesamtorganismus,1330,,1926,,,8
Die Epithelkörperchen,1279,,1926,,,9
Pyelitis,1234,,1926,,,10
Die Enzyme der Oxydation und Reduktion,3428,,1934,,,1
Schilddrüse,3108,,1934,,,2
Eisen,2948,,1934,,,3
Die Krampfadern der unteren Extremität mit besonderer Berücksichtigung ihrer Entstehung und Behandlung,2111,,1934,,,4
Inselzellen der Bauchspeicheldrüse,1941,,1934,,,5
Hauptprobleme der Blutgruppenforschung in den Jahren 1927–1933,1630,,1934,,,6
Die entzündlichen Erkrankungen der ableitenden Harnwege und der Nierenhüllen einschließlich der Pyelonephritis und der Pyonephrose,1584,,1934,,,7
Die chemischen Vorgänge beim biologischen Kohlehydratabbau,1482,,1934,,,8
Magen-Darmkanal,1167,,1934,,,9
Nebenschilddrüsen,1023,,1934,,,10
"The Progress of Greek Epigraphy, 1941–1945",1034,"Literature and Literary Theory, Linguistics and Language, Archeology, Visual Arts and Performing Arts, Language and Linguistics, Archeology, Classics",1945,11,,1
Materialls for History,1004,General Medicine,1945,12,,2
Analytical Chemisty of the Proteins,871,,1945,,,3
Degenerative Nierenerkrankungen,786,,1945,,,4
Zink,689,,1945,,,5
The Design of Bus-Bar Industrial Distribution Systems: an Epitomization of Available Data,654,"Electrical and Electronic Engineering, Industrial and Manufacturing Engineering, Control and Systems Engineering",1945,6,,6
Ulcuspersönlichkeit und Ulcuserlebnis,641,,1945,,,7
Zink,637,,1945,,,8
Zink,580,,1945,,,9
Quecksilber,578,,1945,,,10
Besondere Serologische Reaktionen,3881,,1955,,,1
Krankheiten der Schilddrüse,3602,,1955,,,2
Pathologische Anatomie und Physiologie der hypophysär-hypothalamischen Krankheiten,3522,,1955,,,3
Krankheiten des Kohlenhydratstoffwechsels,3403,,1955,,,4
Antigene,2808,,1955,,,5
Die Keimdrüsen und ihre Krankheiten,2619,,1955,,,6
Radiochemische Methoden der Mikrochemie,1940,,1955,,,7
Radiochemische Methoden der Mikrochemie,1940,,1955,,,8
Allgemeine morphologische Pathologie des Cytoplasmas. Die Pathobiosen,1888,,1955,,,9
Steroide,1885,,1955,,,10
THE HEBREW KINGDOM,3311,,1975,9,18,1
THE WESTERN MEDITERRANEAN,3218,,1975,9,18,2
EGYPT: THE AMARNA PERIOD AND THE END OF THE EIGHTEENTH DYNASTY,3178,,1975,9,18,3
UGARIT,3130,,1975,9,18,4
PALESTINE IN THE TIME OF THE NINETEENTH DYNASTY: THE EXODUS AND WANDERINGS,3123,,1975,9,18,5
"ASSYRIA AND BABYLONIA,<i>c.</i>1200-1000 B.C.",3114,,1975,9,18,6
: THE ARCHAEOLOGICAL BACKGROUND,3111,,1975,9,18,7
EGYPT: FROM THE DEATH OF RAMESSES III TO THE END OF THE TWENTY-FIRST DYNASTY,3108,,1975,9,18,8
"ASSYRIA AND BABYLON,<i>c</i>. 1370-1300 B.C.",3105,,1975,9,18,9
PHRYGIA AND THE PEOPLES OF ANATOLIA IN THE IRON AGE,3097,,1975,9,18,10
References,6534,,2006,,,1
Literatur,4062,,2006,,,2
The English system of liberty,3897,,2006,8,31,3
German natural law,3877,,2006,8,31,4
Utilitarianism and the reform of the criminal law,3777,,2006,8,31,5
The mixed constitution and the common law,3773,,2006,8,31,6
Political languages of the French Revolution,3772,,2006,8,31,7
"Scepticism, priestcraft, and toleration",3769,,2006,8,31,8
Encyclopedias and the diffusion of knowledge,3761,,2006,8,31,9
Natural rights in the Scottish Enlightenment,3755,,2006,8,31,10
Neue Untersuchungen über die Chlorine,17,General Physics and Astronomy,1815,,,1
"Einige orientalische Nachrichten von meteorischen Stein- und Eisen-Massen, von Frosch- und Fisch-Regen etc.",11,General Physics and Astronomy,1815,,,2
Untersuchungen über die Jodine,6,General Physics and Astronomy,1815,,,3
"Ueber die Zamboni'sche Säule, und über einige andere trockne electrische Säulen",5,General Physics and Astronomy,1815,,,4
Analyse der galvanischen Säule,5,General Physics and Astronomy,1815,,,5
Auszüge aus Briefen an den Prof. Gilbert,5,General Physics and Astronomy,1815,,,6
"Entdeckung eines Organs, durch welches die Augen der Vögel sich den verschiedenen Entfernungen der Gegenstände anpassen",4,General Physics and Astronomy,1815,,,7
"Beschreibung eines neuen zusammengesetzten Mikroskops für naturhistorischen Gebrauch, welches sich achromatisch machen lässt",4,General Physics and Astronomy,1815,,,8
Beobachtungen über die ausgezeichneten Wirkungen von Magnesia und von Säuren gegen das Entstehn von Nieren- und von Blasen-Steinen,4,General Physics and Astronomy,1815,,,9
"Versuch, die verschiedene Brechbarkeit des farbigen Lichtes im Wasser unmittelbar sichtbar zu machen; in Beziehung auf Herrn von Göthe's Farbenlehre",4,General Physics and Astronomy,1815,,,10
Battle,1492,,1920,12,31,1
The modern historiography of ancient warfare,1491,,1920,12,31,2
Military forces,1450,,1920,12,31,3
Warfare and the state,1437,,1920,12,31,4
War and society,1432,,1920,12,31,5
Reconstructing ancient warfare,1424,,1920,12,31,6
Battle,1418,,1920,12,31,7
Warfare in ancient literature: the paradox of war,1414,,1920,12,31,8
Warfare and the state,1413,,1920,12,31,9
Military forces,1411,,1920,12,31,10
Literatur und Quellen zur Geschichte der Bevölkerungswissenschaft mit kommentiertem Namenverzeichnis,5239,,1998,,,1
"Linkage Map of
            <i>Escherichia coli</i>
            K-12, Edition 10: The Traditional Map",5035,"Molecular Biology, Microbiology, Infectious Diseases",1998,9,,2
Urban Europe,4175,,1998,6,18,3
Humanism,4100,,1998,6,18,4
Russia,4083,,1998,6,18,5
War,4071,,1998,6,18,6
Politics: Theory and Practice,4063,,1998,6,18,7
"The Recovery of France, 1450– 1520",4044,,1998,6,18,8
Commerce and Trade,4009,,1998,6,18,9
Representation (Since the Thirteenth Century),3997,,1998,6,18,10
Zerreissungen und Schutzmittel des Dammes,328,"Obstetrics and Gynecology, General Medicine, Obstetrics and Gynecology, Obstetrics and Gynecology, Obstetrics and Gynecology",1885,10,,1
